TYPE,APT,RWY,PRO,RTE
###本文件系2511导航数据，若需更新导航数据版本请自行更新，格式不变
SID,ZBAD,17R,RUSD7Q,AD470 AD471 AD472 AD473 AD558 RUSDO
SID,ZBAD,19R,BOTP5L,AD433 AD472 AD473 AD558 BOTPU
SID,ZBAD,19R,DOTR6K,DE19R AD430 AD431 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,19R,ELKU4K,DE19R AD430 AD431 AD534 AD535 AD536 AD539 ELKUR
SID,ZBAD,19R,IDKE6K,DE19R AD430 AD431 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,19R,IGMO4K,DE19R AD430 AD431 AD534 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,19R,MUGL4K,DE19R AD430 AD431 AD534 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,19R,OMDE7F,AD433 AD434 AD453 OMDEK
SID,ZBAD,19R,PEGS7F,AD433 AD472 AD473 PEGSO
SID,ZBAD,19R,RUSD7Q,AD433 AD472 AD473 AD558 RUSDO
SID,ZBAD,35L,BOTP1K,AD572 AD552 AD553 AD558 BOTPU
SID,ZBAD,35L,DOTR6K,AD572 AD551 AD557 AD532 AD533 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,35L,ELKU4K,AD572 AD551 AD557 AD532 AD533 AD534 AD535 AD536 AD539 ELKUR
SID,ZBAD,35L,IDKE6K,AD572 AD551 AD557 AD532 AD533 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,35L,IGMO4K,AD572 AD551 AD557 AD532 AD533 AD534 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,35L,MUGL4K,AD572 AD551 AD557 AD532 AD533 AD534 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,35L,OMDE4N,AD572 AD573 AD574 AD575 AD576 AD577 OMDEK
SID,ZBAD,35L,OMDE6K,AD571 AD572 AD573 AD574 AD575 AD576 AD577 OMDEK
SID,ZBAD,35L,PEGS4N,AD572 AD573 AD574 AD575 AD576 AD577 PEGSO
SID,ZBAD,35L,PEGS6K,AD571 AD572 AD573 AD574 AD575 AD576 AD577 PEGSO
SID,ZBAD,35L,RUSD5K,AD572 AD552 AD553 AD558 RUSDO
SID,ZBAD,35R,BOTP1K,AD550 AD551 AD552 AD553 AD558 BOTPU
SID,ZBAD,35R,DOTR6K,AD550 AD551 AD557 AD532 AD533 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,35R,ELKU4K,AD550 AD551 AD557 AD532 AD533 AD534 AD535 AD536 AD539 ELKUR
SID,ZBAD,35R,IDKE6K,AD550 AD551 AD557 AD532 AD533 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,35R,IGMO4K,AD550 AD551 AD557 AD532 AD533 AD534 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,35R,MUGL4K,AD550 AD551 AD557 AD532 AD533 AD534 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,35R,OMDE6K,AD550 AD551 AD552 AD553 AD575 AD576 AD577 OMDEK
SID,ZBAD,35R,PEGS6K,AD550 AD551 AD552 AD553 AD575 AD576 AD577 PEGSO
SID,ZBAD,35R,RUSD5K,AD550 AD551 AD552 AD553 AD558 RUSDO
STAR,ZBAD,01L,AVBO9M,AVBOX AD543 AD542 AD523 AD522 AD569 AD521 AD620 FI01L
STAR,ZBAD,01L,BELA6M,BELAX AD562 AD561 AD620 FI01L
STAR,ZBAD,01L,BUMD6M,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD569 AD521 AD620 FI01L
STAR,ZBAD,01L,DUMA6M,DUMAP AD546 AD543 AD542 AD523 AD522 AD569 AD521 AD620 FI01L
STAR,ZBAD,01L,ELAP6M,ELAPU AD566 AD565 AD564 AD567 AD561 AD620 FI01L
STAR,ZBAD,17L,AVBO5LxILSY,AVBOX AD486 AD522 AD485 AD421 AD709 FI7LY
STAR,ZBAD,17L,BELA5L,BELAX AD464 AD568 AD563 AD462 AD461 AD709 FI7LZ
STAR,ZBAD,17L,BUMD5LxILSY,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD485 AD421 AD709 FI7LY
STAR,ZBAD,17L,DUMA5LxILSY,DUMAP AD546 AD543 AD486 AD522 AD485 AD421 AD709 FI7LY
STAR,ZBAD,17L,ELAP5L,ELAPU AD566 AD565 AD563 AD462 AD461 AD709 FI7LZ
STAR,ZBAD,17R,AVBO5LxILSY,AVBOX AD486 AD522 AD485 AD421 AD760 FI7RY
STAR,ZBAD,17R,BELA5L,BELAX AD464 AD568 AD563 AD462 AD461 AD760 FI7RZ
STAR,ZBAD,17R,BUMD5LxILSY,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD485 AD421 AD760 FI7RY
STAR,ZBAD,17R,DUMA5LxILSY,DUMAP AD546 AD543 AD486 AD522 AD485 AD421 AD760 FI7RY
STAR,ZBAD,17R,ELAP5L,ELAPU AD566 AD565 AD563 AD462 AD461 AD760 FI7RZ
STAR,ZBAD,19R,AVBO5L,AVBOX AD486 AD522 AD485 AD421 AD720 FI19R
STAR,ZBAD,19R,BELA5L,BELAX AD464 AD568 AD563 AD462 AD461 AD720 FI19R
STAR,ZBAD,19R,BUMD5L,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD485 AD421 AD720 FI19R
STAR,ZBAD,19R,DUMA5L,DUMAP AD546 AD543 AD486 AD522 AD485 AD421 AD720 FI19R
STAR,ZBAD,19R,ELAP5L,ELAPU AD566 AD565 AD563 AD462 AD461 AD720 FI19R
STAR,ZBAD,35L,AVBO9MxILSY,AVBOX AD543 AD542 AD523 AD522 AD569 AD521 AD660 FI35L
STAR,ZBAD,35L,AVBO9MxILSZ,AVBOX AD543 AD542 AD523 AD522 AD569 AD521 AD660 FI35L
STAR,ZBAD,35L,BELA6MxILSY,BELAX AD562 AD561 AD660 FI35L
STAR,ZBAD,35L,BELA6MxILSZ,BELAX AD562 AD561 AD660 FI35L
STAR,ZBAD,35L,BUMD6MxILSY,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD569 AD521 AD660 FI35L
STAR,ZBAD,35L,BUMD6MxILSZ,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD569 AD521 AD660 FI35L
STAR,ZBAD,35L,DUMA6MxILSY,DUMAP AD546 AD543 AD542 AD523 AD522 AD569 AD521 AD660 FI35L
STAR,ZBAD,35L,DUMA6MxILSZ,DUMAP AD546 AD543 AD542 AD523 AD522 AD569 AD521 AD660 FI35L
STAR,ZBAD,35L,ELAP6MxILSY,ELAPU AD566 AD565 AD564 AD567 AD561 AD660 FI35L
STAR,ZBAD,35L,ELAP6MxILSZ,ELAPU AD566 AD565 AD564 AD567 AD561 AD660 FI35L
STAR,ZBAD,35R,AVBO9M,AVBOX AD543 AD542 AD523 AD522 AD569 AD521 AD608 FI35R
STAR,ZBAD,35R,BELA6M,BELAX AD562 AD561 AD608 FI35R
STAR,ZBAD,35R,BUMD6M,BUMDU AD528 AD527 AD526 AD525 AD524 AD523 AD522 AD569 AD521 AD608 FI35R
STAR,ZBAD,35R,DUMA6M,DUMAP AD546 AD543 AD542 AD523 AD522 AD569 AD521 AD608 FI35R
STAR,ZBAD,35R,ELAP6M,ELAPU AD566 AD565 AD564 AD567 AD561 AD608 FI35R
SID,ZBDS,31,RV,ZBDS
SID,ZBDS,13,RV,ZBDS
STAR,ZBDS,31,RV,ZBDS
STAR,ZBDS,13,RV,ZBDS
SID,ZBDS,13,ALG8ZD,DS511 DS601 ALGOV
SID,ZBDS,13,KIB8ZD,DS513 DS514 IDSOT DS604 IPNON KIBIP
SID,ZBDS,13,LAV8ZD,DS513 DS514 IDSOT DS605 LAVOM
SID,ZBDS,13,OMD8ZD,DS513 DS502 VEXEB DS602 OMDIS
SID,ZBDS,13,YLX8ZD,DS513 DS514 DS603 TESAN YLX
SID,ZBDS,31,ALG9ZD,DS531 DS601 ALGOV
SID,ZBDS,31,KIB9ZD,DS531 DS532 IDSOT DS604 IPNON KIBIP
SID,ZBDS,31,LAV9ZD,DS531 DS532 IDSOT DS605 LAVOM
SID,ZBDS,31,OMD9ZD,DS531 DS532 VEXEB DS602 OMDIS
SID,ZBDS,31,YLX9ZD,DS531 DS532 DS603 TESAN YLX
STAR,ZBDS,13,ALG8YAxILSY,ALGOV DS601 DS501 HDS DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,13,ALG8YAxILSZ,ALGOV DS601 DS501 HDS DS407 DS405 DS403 DS402 FI13
STAR,ZBDS,13,ALG8ZA,ALGOV DS601 DS501 DS403 DS402 FI13
STAR,ZBDS,13,OMD8YAxILSY,OMDIS DS602 VEXEB DS502 HDS DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,13,OMD8YAxILSZ,OMDIS DS602 VEXEB DS502 HDS DS407 DS405 DS403 DS402 FI13
STAR,ZBDS,13,OMD8ZAxILSY,OMDIS DS602 VEXEB DS502 DS901 DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,13,UGP8YAxILSY,UGPOR VEXEB DS502 HDS DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,13,UGP8YAxILSZ,UGPOR VEXEB DS502 HDS DS407 DS405 DS403 DS402 FI13
STAR,ZBDS,13,UGP8ZAxILSY,UGPOR VEXEB DS502 DS901 DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,13,YLX8YAxILSY,YLX TESAN DS503 HDS DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,13,YLX8YAxILSZ,YLX TESAN DS503 HDS DS407 DS405 DS403 DS402 FI13
STAR,ZBDS,13,YLX8ZAxILSY,YLX TESAN DS503 DS408 DS406 DS404 DS402 FI13
STAR,ZBDS,31,ALG9YAxILSY,ALGOV DS601 DS501 HDS DS418 DS416 DS414 DS412 FI31
STAR,ZBDS,31,ALG9YAxILSZ,ALGOV DS601 DS501 HDS DS417 DS415 DS413 DS412 FI31
